drug,l2s2_n_total,l2s2_n_signatures,l2s2_n_significant,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_signatures,l2s2_mimic_signatures,l2s2_general_signatures,l2s2_n_sig_pval,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_max_neglog10p,l2s2_mean_odds_ratio,l2s2_max_odds_ratio,l2s2_direction,l2s2_retrieval_sort,l1k_n_total,l1k_n_signatures,l1k_signatures,l1k_mean_score,l1k_max_score,l1k_false_rescue,n_engines,n_total_signatures,regulatory_status,approved_jurisdiction,mechanism,target_axis,candidate_tier,lincs_eligible,lookup_source,mechanism_flag,firewall_status,firewall_reason,lincs_drug,signature_has_nominal_genes
c8273,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",6,1,GSE134780_HH_v_WT_fat,0.05742,0.0704,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,c8273,False
arg a1 2 brd k39580048,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HH_v_WT_fat,0.0563,0.0563,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,arg a1 2 brd k39580048,False
taxifolin (+ ),0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HH_v_WT_fat,0.0563,0.0563,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,taxifolin (+ ),False
akti 1 2,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetL1002P_v_WT,0.0519,0.0519,False,1,1,UNKNOWN,,,,,False,none,broad_cancer_kinase,REJECT,not_matched_to_candidate_or_axis; broad_cancer_kinase_not_MVA_axis; only_1_signature_total,akti 1 2,False
azd 7545 a,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetL1002P_v_WT,0.0519,0.0519,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,azd 7545 a,False
fipronil,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetL1002P_v_WT,0.0519,0.0519,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,fipronil,False
h 9,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetL1002P_v_WT,0.0519,0.0519,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,h 9,False
immethridine dihydrobromide,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetL1002P_v_WT,0.0519,0.0519,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,immethridine dihydrobromide,False
ppt,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetL1002P_v_WT,0.0519,0.0519,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,ppt,False
purvalanol a,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetL1002P_v_WT,0.0519,0.0519,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,purvalanol a,False
"w 12,",0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetL1002P_v_WT,0.0519,0.0519,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,"w 12,",False
km 00927,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_muscle,0.0496,0.0496,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,km 00927,False
methylene blue,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_muscle,0.0496,0.0496,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,methylene blue,False
thm i 94,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_muscle,0.0496,0.0496,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,thm i 94,False
lonidamine,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HH_v_WT_fat,0.0493,0.0493,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,lonidamine,False
testosterone propionate,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HH_v_WT_fat,0.0493,0.0493,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,testosterone propionate,False
emetine hydrate,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HH_v_WT_fat,0.04835,0.0493,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,emetine hydrate,False
s1057,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134780_HH_v_WT_fat,0.048,0.0563,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,s1057,False
mst 312,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HH_v_WT_fat,0.0448,0.0521,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,mst 312,False
homoharringtonine,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134780_HL1002P_v_WT_muscle,0.04423,0.0496,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,homoharringtonine,False
7b cis,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0405,0.0405,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,7b cis,False
gsk 690693,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0405,0.0405,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,gsk 690693,False
zstk 474,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0405,0.0405,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,zstk 474,False
(+) jq1,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_muscle,0.0383,0.0383,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,(+) jq1,False
cay10618,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0382,0.0382,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,cay10618,False
indirubin 3 oxime,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0382,0.0382,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,indirubin 3 oxime,False
s 8599,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0382,0.0382,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,s 8599,False
parthenolide,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",5,1,GSE134780_HH_v_WT_muscle,0.03702,0.0515,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,parthenolide,False
cycloheximide,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HH_v_WT_muscle,0.0368,0.0368,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,cycloheximide,False
hy 10518,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HH_v_WT_muscle,0.0368,0.0368,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,hy 10518,False
mls 0437446.0001,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HH_v_WT_muscle,0.0368,0.0368,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,mls 0437446.0001,False
nvp auy922,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HH_v_WT_muscle,0.0368,0.0368,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,nvp auy922,False
ouabain,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134780_HL1002P_v_WT_fat,0.03627,0.0405,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,ouabain,False
xmd 1150,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",4,1,GSE134780_HL1002P_v_WT_muscle,0.03615,0.0567,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,xmd 1150,False
ei 215,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HL1002P_v_WT_muscle,0.03565,0.0383,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,ei 215,False
bibr1532,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134781_hetX753_v_WT,0.03545,0.0446,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,bibr1532,False
bibx 1382,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HH_v_WT_fat,0.0346,0.0346,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,bibx 1382,False
buparlisib,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0345,0.0345,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,buparlisib,False
n9 isoproplyolomoucine,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0345,0.0345,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,n9 isoproplyolomoucine,False
piperlongumine (hplc),0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0345,0.0345,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,piperlongumine (hplc),False
abt 751,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0338,0.0338,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,abt 751,False
cercosporin,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0338,0.0338,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,cercosporin,False
ku 0063794,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0338,0.0338,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,ku 0063794,False
proscillaridin a,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0338,0.0338,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,proscillaridin a,False
mln4924,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_muscle,0.0335,0.0335,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,mln4924,False
penfluridol,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HL1002P_v_WT_fat,0.0335,0.0368,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,penfluridol,False
puromycin,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_muscle,0.0335,0.0335,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,puromycin,False
tl hras26,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_muscle,0.0335,0.0335,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,tl hras26,False
b4313,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HL1002P_v_WT_muscle,0.03325,0.0335,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,b4313,False
ym 201636,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_muscle,0.033,0.033,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,ym 201636,False
gant 58,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetX753_v_WT,0.0324,0.0446,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,gant 58,False
"""""""2 (6,6 dimethoxy 3 oxocyclohexa 1,4 dienylcarbamoyl)phenyl acetate gnfk 3""""""",0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HH_v_WT_muscle,0.0323,0.0323,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,"""""""2 (6,6 dimethoxy 3 oxocyclohexa 1,4 dienylcarbamoyl)phenyl acetate gnfk 3""""""",False
t542500,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetX753_v_WT,0.03187,0.0446,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,t542500,False
bithionate,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0318,0.0318,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,bithionate,False
mibefradil,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0318,0.0318,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,mibefradil,False
nonoxynol 9,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0318,0.0318,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,nonoxynol 9,False
nsc 632839,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0318,0.0318,True,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; l1000cds2_false_rescue_generic_stress_overlap; only_1_signature_total,nsc 632839,False
pipamperone,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0318,0.0318,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,pipamperone,False
syrosingopine,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0318,0.0318,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,syrosingopine,False
bi 2536,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0316,0.0316,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,bi 2536,False
periplocymarin,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134780_HL1002P_v_WT_fat,0.03153,0.0345,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,periplocymarin,False
terfenadine,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HL1002P_v_WT_muscle,0.0314,0.0335,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,terfenadine,False
bay 11 7821,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",4,1,GSE134780_HH_v_WT_muscle,0.03135,0.0441,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,bay 11 7821,False
cp466722,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0307,0.0307,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,cp466722,False
chir 99021,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HH_v_WT_muscle,0.0305,0.0369,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,chir 99021,False
jnk in 5a,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetX753_v_WT,0.03027,0.0382,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,jnk in 5a,False
nsc 23766,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HL1002P_v_WT_fat,0.03005,0.0338,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,nsc 23766,False
t 98475,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134781_hetX753_v_WT,0.0296,0.0318,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,t 98475,False
sb590885,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_muscle,0.0293,0.0293,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,sb590885,False
s1085,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HH_v_WT_muscle,0.0282,0.0323,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,s1085,False
bvt 948,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HH_v_WT_muscle,0.0276,0.0276,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,bvt 948,False
"""""""2 [(chloroacetyl)(3,4 dimethylphenyl)amino] n cyclohexyl 2 pyridin 3 ylacetamide""""""",0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HH_v_WT_muscle,0.02685,0.0323,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,"""""""2 [(chloroacetyl)(3,4 dimethylphenyl)amino] n cyclohexyl 2 pyridin 3 ylacetamide""""""",False
pfi 1,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HH_v_WT_muscle,0.02685,0.0323,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,pfi 1,False
bo2 (inhibits rad51),0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",3,1,GSE134781_hetX753_v_WT,0.02667,0.0274,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,bo2 (inhibits rad51),False
"15 deoxy ?12,14 prostaglandin j2",0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134781_hetX753_v_WT,0.0263,0.0307,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,"15 deoxy ?12,14 prostaglandin j2",False
bibu 1361,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134780_HL1002P_v_WT_fat,0.0263,0.0263,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,bibu 1361,False
vu0418939 2,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0263,0.0263,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,vu0418939 2,False
losartan potassium,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134780_HH_v_WT_muscle,0.02585,0.0276,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,losartan potassium,False
s1003,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0247,0.0247,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,s1003,False
"""""""1 {[2 (4 chlorophenyl) 5 methyl 1,3 oxazol 4 yl]methyl} n [2 (dipropylamino)ethyl]piperidine 4 carboxamide""""""",0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",2,1,GSE134781_hetX753_v_WT,0.0241,0.0263,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,"""""""1 {[2 (4 chlorophenyl) 5 methyl 1,3 oxazol 4 yl]methyl} n [2 (dipropylamino)ethyl]piperidine 4 carboxamide""""""",False
