drug,l2s2_n_total,l2s2_n_signatures,l2s2_n_significant,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_signatures,l2s2_mimic_signatures,l2s2_general_signatures,l2s2_n_sig_pval,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_max_neglog10p,l2s2_mean_odds_ratio,l2s2_max_odds_ratio,l2s2_direction,l2s2_retrieval_sort,l1k_n_total,l1k_n_signatures,l1k_signatures,l1k_mean_score,l1k_max_score,l1k_false_rescue,n_engines,n_total_signatures,regulatory_status,approved_jurisdiction,mechanism,target_axis,candidate_tier,lincs_eligible,lookup_source,mechanism_flag,firewall_status,firewall_reason,lincs_drug,signature_has_nominal_genes
etodolac,1,1,0,0,0,,,,0,0.9999999999999544,1.0,0.9999999997322618,1.0,0.0036748286042346,0.2115250673653454,0.0,0.0,0.073,0.073,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,etodolac,True
etomidate,1,1,0,0,0,,,,0,1.0000000000000853,1.0,0.9999999613779867,1.0,0.0304497718259922,0.5320879156518642,-0.0,-0.0,0.108,0.108,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,etomidate,True
etravirine,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,etravirine,True
exemestane,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,exemestane,False
famotidine,3,2,0,0,0,,,,0,0.9999999999997768,1.0,0.8170575400935386,1.0,0.0303101956859066,0.5174872183840794,0.0,0.0,0.376,0.796,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,famotidine,True
febuxostat,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,febuxostat,False
felbamate,3,2,0,0,0,,,,0,0.9999999999990776,1.0,0.9999999601508556,1.0,0.0151110549184483,0.393971432020523,0.0,0.0,0.05,0.092,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,felbamate,True
felodipine,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,felodipine,False
fidaxomicin,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,fidaxomicin,False
finasteride,1,1,0,0,0,,,,0,1.0000000000001588,1.0,0.8994623654175524,1.0,0.0151018786290486,0.4044301024347267,-0.0,-0.0,0.699,0.699,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,finasteride,True
fingolimod,1,1,0,0,0,,,,0,1.0000000000001374,1.0,0.9999999961905444,1.0,0.0150534021501785,0.393971432020523,-0.0,-0.0,0.064,0.064,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,fingolimod,True
fit,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,fit,False
flavoxate,1,1,0,0,0,,,,0,1.0000000000000189,1.0,0.9999999654065184,1.0,0.0303734588836071,0.5174872183840794,-0.0,-0.0,0.192,0.192,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,flavoxate,True
flecainide,2,1,0,0,0,,,,0,1.0000000000001248,1.0,0.9999993656341174,1.0,0.0302370908314255,0.4971541310606035,-0.0,-0.0,0.147,0.222,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,flecainide,True
fludarabine,7,5,0,0,0,,,,0,1.0,1.0,0.9999542682033464,1.0,0.0150850062797155,0.3816574455090226,-0.0,-0.0,0.048,0.31,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,fludarabine,True
flumazenil,1,1,0,0,0,,,,0,0.999999999999985,1.0,0.99938973395539,1.0,0.0149776258732133,0.3985000417927636,0.0,0.0,0.373,0.373,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,flumazenil,False
fluocinolone acetonide,1,1,0,0,0,,,,0,0.9999999999999496,1.0,0.9998677369732326,1.0,0.0304111059978491,0.6189753487724887,0.0,0.0,0.31,0.31,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,fluocinolone acetonide,True
fluvoxamine,3,2,0,0,0,,,,0,1.0,1.0,0.9999999951059284,1.0,0.0305173133083077,0.4197731833302011,-0.0,-0.0,0.009,0.013,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,fluvoxamine,True
formoterol,1,1,0,0,0,,,,0,1.0000000000000069,1.0,0.9999999970475312,1.0,0.0150331977931801,0.2427393415187888,-0.0,-0.0,0.017,0.017,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,formoterol,False
fosfomycin,2,2,0,0,0,,,,0,0.9999999999998108,1.0,0.9999999935619552,1.0,0.0072934761597109,0.298219481005509,0.0,0.0,0.049,0.097,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,fosfomycin,True
fosinopril,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,fosinopril,True
gatifloxacin,8,3,0,0,0,,,,0,1.00000000000049,1.0,0.9996117651748182,1.0,0.0009300677370587,0.0500600033648815,-0.0,-0.0,0.097,0.384,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,gatifloxacin,True
gemifloxacin,3,1,0,0,0,,,,0,0.9999999999995686,1.0,0.999999995553234,1.0,0.0149233685181349,0.2620267381293468,0.0,0.0,0.018,0.02,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,gemifloxacin,False
glibenclamide,5,2,0,0,0,,,,0,0.9999999999979172,1.0,0.9984358794460914,1.0,0.0004537321085165,0.0637024891213161,0.0,0.0,0.171,0.408,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,glibenclamide,True
glimepiride,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,glimepiride,False
granisetron,2,2,0,0,0,,,,0,0.9999999999995324,1.0,0.9999999866550467,1.0,0.0300686158821615,0.4971541310606035,0.0,0.0,0.042,0.084,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,granisetron,True
grazoprevir,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,grazoprevir,False
griseofulvin,1,1,0,0,0,,,,0,0.9999999999999796,1.0,0.9999999839875784,1.0,0.0150506006832905,0.4125946142688727,0.0,0.0,0.199,0.199,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,griseofulvin,True
guanethidine,3,2,0,0,0,,,,0,0.999999999999556,1.0,0.9999999610824862,1.0,0.0074479719602326,0.3220767539252558,0.0,0.0,0.094,0.153,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,guanethidine,True
halcinonide,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,halcinonide,False
histamine,1,1,0,0,0,,,,0,0.9999999999999464,1.0,0.9953625542469056,1.0,0.0148490459839026,0.3985000417927636,0.0,0.0,0.449,0.449,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,histamine,False
hydroflumethiazide,1,1,0,0,0,,,,0,0.9999999999998866,1.0,0.9999999884346712,1.0,0.0305532513887743,0.5174872183840794,0.0,0.0,0.152,0.152,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,hydroflumethiazide,True
hydroxychloroquine,1,1,0,0,0,,,,0,0.9999999999999613,1.0,0.2759879590263848,1.0,0.0145301365734741,0.4044301024347267,0.0,0.0,1.491,1.491,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,hydroxychloroquine,True
hydroxyurea,3,1,0,0,0,,,,0,0.9999999999998656,1.0,0.99999996326561,1.0,0.0151305692788379,0.393971432020523,-0.0,0.0,0.096,0.144,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,hydroxyurea,True
ibutilide,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,ibutilide,False
idarubicin,4,4,0,0,0,,,,0,1.0,1.0,0.0073712991597866,1.0,0.0037631966602095,0.3816574455090226,-0.0,-0.0,0.864,3.103,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,idarubicin,True
