drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
QUINACRINE HYDROCHLORIDE,BRD-A45889380,HA1E,10.0,24.0,0.0685,234,23581813,,"BZW2,C5ORF13,CDH2,LAPTM4B,NME4","ATF5,DUSP3,MNDA,SQSTM1,TRAM2"
-666,BRD-K04853698,HCC515,10.0,24.0,0.0685,427,25195294,,"C5ORF13,CCNB1,KPNA2,LAPTM4B,MCM10,MGST2","DNAJB9,DUSP5,SAT1,SQSTM1,SWAP70,ZC3H12A"
PERHEXILINE MALEATE,BRD-A19633847,HT29,10.0,24.0,0.0685,426,5284439,,"GZMK,MCM10,NME4","CTH,DNAJB9,DUSP3,DUSP5,HLA-E,SAT1,SQSTM1"
Ro 28-1675 ?,BRD-K21672174,HT29,160.0,24.0,0.0685,520,9886086,,"CCNB1,MCM10,NME4","AIM2,CTH,DNAJB9,DUSP5,HLA-E,SAT1,SLC2A3,SQSTM1,TAP1"
MK-2206,BRD-K68065987,HT29,10.0,24.0,0.0685,393,24964624,,"KPNA2,LAPTM4B,MCM10","DNAJB9,DUSP3,DUSP5,HLA-E,SLC2A3,SQSTM1,SWAP70"
IMD 0354,BRD-K74305673,HT29,10.0,24.0,0.0685,354,5081913,,"CDH2,MCM10,NME4","DNAJB9,DUSP3,DUSP5,SAT1,SLC2A3,SQSTM1,WBP2"
PAC 1,BRD-K92991072,HT29,10.0,24.0,0.0685,306,6851947,,,"DNAJB9,DUSP5,ENO2,HLA-E,HOXB2,MKNK2,SAT1,SLC2A3,SQSTM1,WBP2"
MLN2238,BRD-K78659596,MCF7,10.0,24.0,0.0685,565,25183872,,"C5ORF13,CCNB1,KPNA2,MCM10,NME4","CAV2,DNAJB9,DUSP5,MKNK2,SAT1,SQSTM1"
IMD 0354,BRD-K74305673,PC3,10.0,24.0,0.0685,387,5081913,,"C5ORF13,MCM10,NME4","CTH,DNAJB9,DUSP5,HLA-E,MKNK2,SAT1,TAP1"
BJM-ctd2-9,BRD-M86331534,PC3,10.0,24.0,0.0685,428,73707397,,"CCNB1,CDH2,KPNA2,LAPTM4B,LPP,MAP4K4,MCM10,PRKCA","ALOX5,DNAJB9,SAT1,SLC7A7,TAP1"
Arachidonyl trifluoro-methyl ketone,BRD-K07303502,VCAP,80.0,24.0,0.0685,375,5280436,,"C5ORF13,NME4,TST","AIM2,CTH,DNAJB9,HOXB2,SAT1,SLC7A7,SQSTM1,SWAP70"
-666,BRD-K12867552,MCF7,10.0,24.0,0.0685,482,11749858,,"ANXA1,MGST2,NME4","ALOX5,CAV2,DNAJB9,DUSP5,LGALS1,SAT1,SGCE,SLC2A3,SLC7A7"
QL-X-138,BRD-K72636697,HS578T,10,24,0.0685,372,73707530,,"C5ORF13,CDH2,CXCL10,EPB41L3,LAPTM4B,NME4,PDGFD,TPM2","DUSP3,DUSP5,ZBTB43"
