drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
Akt inhibitor IV,BRD-K28296557,HT29,10.0,24.0,0.1261,429,5719375,,"CCNF,CSE1L,CTPS,KIAA0101,LSM6,MARCKSL1,MCM10,MCM4,MGST2,NME1,NME4,OIP5,PDSS1,POLE2,POLR2L,RANBP1,SEPW1,SMYD2,SPC25,TRIP13,TYMS","ARMCX3,CCPG1,CEBPG,CTDSP2,DDIT3,DNAJB2,DNAJB9,GOLGB1,IL6,LDLR,MKNK2,NEU1,NFE2L1,NRBF2,OPTN,P2RX4,RAP1GAP,RHOQ,RRAGC,SLC7A11,SQSTM1,TPP1,WARS,WBP2"
DG-041,BRD-K33272502,A375,40.0,24.0,0.1232,413,11296282,,"AP2M1,BAMBI,BUB1,C20ORF27,CCNB1,CCNF,CENPF,CSE1L,DNAJC9,H2AFZ,HMMR,HN1,KIAA0101,KPNA2,LSM4,MARCKSL1,MCM10,MCM4,NME4,NRGN,OIP5,PAFAH1B3,POLA2,POLE2,PTMA,QDPR,RNASEH2A,SLC25A10,SPC25,TACC3,TIMELESS,TK1,TPX2,TRIP13,TUBG1,TYMS","ARMCX3,ASS1,CEBPG,DDIT3,DNAJB2,DNAJB9,RNASE4,SLC7A11,SOX11"
IMD 0354,BRD-K74305673,HCC515,10.0,24.0,0.1232,446,5081913,,"BUB1,CCNB1,CDC20,CENPF,CSE1L,CTPS,DNAJC9,GINS4,HMMR,HN1,KIAA0101,KPNA2,MCM10,MCM4,OIP5,POLA2,POLE2,PTMA,RANBP1,SPC25,TACC3,TIMELESS,TK1,TPX2,TRIP13,TUBG1,TYMS","ARMCX3,ASS1,CCPG1,CEBPG,CTSB,DDIT3,DNAJB9,HMGCR,LDLR,NEU1,NFE2L1,P2RX4,RAP1GAP,RHOQ,RRAGC,SCD,SLC7A11,SLC7A7,SQSTM1,TPP1"
"3,5-dichloro-2-hydroxy-N-(2-methoxy-5-phenylphenyl)benzenesulfonamide",BRD-K43620258,PC3,80.0,24.0,0.1232,468,16747776,,"BUB1,C20ORF27,C5ORF13,CCNB1,CCNF,CENPF,CHEK1,CSE1L,DNAJC9,DTYMK,HMMR,HN1,KIAA0101,KPNA2,LSM4,MARCKSL1,MCM10,MCM4,NME4,OIP5,POLE2,POLR2L,RANGAP1,RNASEH2A,SPC25,STIP1,STRA13,TACC3,TK1,TPX2,TRIP13,TYMS","ARMCX3,ASS1,CBS,CCPG1,CEBPG,DDIT3,DNAJB9,IL6,LDLR,NEU1,RAP1GAP,RYBP,SLC7A11,SQSTM1,WARS"
NCGC00185684-02,BRD-K37940862,HT29,10.0,24.0,0.1232,365,46930969,,"BUB1,CCNF,CENPF,CSE1L,HMMR,KIAA0101,MARCKSL1,MCM10,MCM4,NME4,OIP5,POLE2,POLR2L,RANBP1,SPC25,STRA13,TACC3,TK1,TPX2,TRIP13,TYMS","ARMCX3,ASS1,BTN3A3,CCPG1,CEBPG,DDIT3,DNAJB9,GCNT3,GOLGB1,HLA-A,HLA-B,HLA-E,IFIH1,INHBE,KLF9,LDLR,OPTN,RARRES3,SLC7A11,SQSTM1,TAP1,TMEM140,WARS"
BMS-536924,BRD-K34581968,A375,11.1,24.0,0.1203,506,11353973,,"ANXA1,BOP1,BUB1,CCNF,CD3EAP,CDH2,CENPF,CSE1L,CTPS,DNAJC9,H2AFZ,HMMR,HN1,KIAA0101,KPNA2,MCM10,MCM4,NME1,PDSS1,PFAS,POLA2,POLE2,RNASEH2A,SCML1,SFPQ,SLC25A15,SPC25,SYNCRIP,TACC3,TIMELESS,TK1,TPX2,TRIP13,TUBG1,TYMS","C14ORF132,C1ORF54,GULP1,HMGCR,LMBRD1,NEU1,TNS3,TPP1"
-666,BRD-A62809825,HT29,10.0,24.0,0.1203,512,5353993,,"BUB1,CCNF,CDC20,CDH2,CENPF,CSE1L,DTYMK,H2AFZ,HMGB3,HMMR,HN1,KIAA0101,KPNA2,LSM6,MARCKSL1,MCM10,MCM4,MGST2,NME4,OIP5,PAFAH1B3,POLA2,POLE2,RANBP1,SLC25A10,SPC25,SYNCRIP,TACC3,TK1,TPX2,TRIP13,TYMS","ARMCX3,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GOLGB1,GULP1,HMGCR,LDLR,NFE2L1,RHOQ,SLC7A11,WARS"
CHR 2797,BRD-K92241597,HT29,80.0,24.0,0.1203,473,15547703,,"BUB1,C18ORF10,C5ORF13,CDH2,CENPF,HMMR,KIAA0101,LSM6,MARCKSL1,MCM10,MCM4,NME4,OIP5,PAFAH1B3,POLA2,POLE2,POLR2L,RANBP1,RNASEH2A,SLC25A15,SPC25,TACC3,TK1,TMEM106C,TPX2,TRIP13,TYMS","ARMCX3,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,HLA-A,HLA-B,HLA-E,IFIH1,INHBE,LHFPL2,OPTN,RRAGC,SLC7A11,SQSTM1,TAP1,WARS"
radicicol,BRD-A39996500,MCF10A,10,24,0.1203,402,5311380,,"BOP1,BUB1,C5ORF13,CCNF,CDC20,CSE1L,CTPS,HMGB3,KIAA0101,MCM4,MT1X,NME1,PA2G4,PFAS,POLD2,POLE2,PUS7,RANBP1,RBM3,RRS1,SYNCRIP,TPM2,TPX2,TRIP13,TYMS","ARMCX3,BTN3A2,CCPG1,DDIT3,DNAJB2,DNAJB9,GPR137B,GULP1,HLA-E,NEU1,NFE2L1,PIR,RRAGC,RYBP,SCD,SLC7A7,SQSTM1,ZBTB43"
CGP 71683 hydrochloride,BRD-K31912990,HCC515,10.0,24.0,0.1175,390,5312114,,"BAMBI,BUB1,CCNF,CDC20,CDH2,CENPF,CSE1L,CTPS,HMMR,HN1,KIAA0101,MCM10,MCM4,MGST2,NME4,OIP5,POLE2,SEPW1,SPC25,TACC3,TIMELESS,TK1,TMEM106C,TPX2,TRIP13,TUBG1,TYMS","ARL1,ARMCX3,ASS1,CCPG1,CEBPG,DDIT3,DNAJB9,GOLGB1,GULP1,LDLR,NEU1,P2RX4,RHOQ,RRAGC,SLC7A11,TPP1"
