drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
KX-2391,True,1.5820002883085913,0.13792584997765134,1,0.0008463501362726399,0.06283879101659748,0.9999999999998485,1,10,314,10
roflumilast,True,0.9376215469900939,0.67930195598986,1,0.0008971370790523099,0.06283879101659748,1.0000000000020421,1,10,530,10
carbamazepine,True,0.7913267446522421,0.8490740627054824,1,0.0009090835764407279,0.06283879101659748,0.9999999999999377,1,10,628,10
lenalidomide,True,0.7575504884710952,0.8817422369811474,1,0.000911864213474492,0.06283879101659748,1.0000000000006644,1,10,656,10
panobinostat,True,0.4203071690152949,0.9997499241529703,1,0.0009400973019757626,0.06283879101659748,1.0000000000015392,1,10,1182,10
idelalisib,True,0.40062723823349233,0.9998883138763278,1,0.000941771531283105,0.06283879101659748,1.0000000000021274,1,10,1240,10
simvastatin,True,0.3850815942372589,0.9999450400697665,1,0.0009430961489773441,0.06283879101659748,1.0000000000020546,1,10,1290,10
doxorubicin,True,0.37689103832424914,0.9999632584791902,1,0.0009437948002962064,0.06283879101659748,0.9999999999988167,1,10,1318,10
ibrutinib,True,0.22395073120630632,1.0000000094416182,1,0.0009569359038060529,0.06283879101659748,0.9999999999970459,1,10,2216,10
TUL,True,1.8336711315726932,0.08348571041394177,1,0.0016866807450329107,0.1034007020918714,0.9999999999999557,1,9,245,9
losartan,True,0.6970519310478975,0.9239182022333553,1,0.0018471766916003858,0.1034007020918714,1.0000000000005005,1,9,645,9
temsirolimus,True,0.6927557029689316,0.9269028027381919,1,0.001847811301201213,0.1034007020918714,0.999999999999704,1,9,649,9
dexamethasone,True,0.4860005970552599,0.9970276537850219,1,0.0018786101608522024,0.1034007020918714,0.9999999999994424,1,9,925,9
temozolomide,True,0.39050775617427247,0.9998648558885724,1,0.001893007449740849,0.1034007020918714,0.9999999999995675,1,9,1151,9
gefitinib,True,0.2230927321640516,1.0000000079299742,1,0.0019185146896093766,0.1034007020918714,0.9999999999988479,1,9,2013,9
ixabepilone,True,1.2724242853844232,0.3558169300152883,1,0.003575489880510404,0.17436674881242195,0.9999999999999408,1,8,316,8
nimodipine,True,0.5649517135209732,0.9816765076681246,1,0.0037557157730616617,0.17436674881242195,1.0000000000010687,1,8,712,8
fluphenazine,True,0.5421055683322392,0.9872861801400606,1,0.00376168417293814,0.17436674881242195,1.0000000000009055,1,8,742,8
midostaurin,True,0.5210338810222418,0.9912583120973758,1,0.003767197393613701,0.17436674881242195,0.9999999999994897,1,8,772,8
dienestrol,True,0.4990477373503723,0.994340640848602,1,0.003772958466097373,0.17436674881242195,1.0000000000002205,1,8,806,8
amisulpride,True,2.5847283006301147,0.030787949273965397,1,0.006705601149195077,0.26226909579866087,0.9999999999999786,1,7,137,7
risperidone,True,0.6535868998768561,0.937318471628348,1,0.007516387806110722,0.26226909579866087,0.9999999999996038,1,7,543,7
riluzole,True,0.6371630902214628,0.9465162557995627,1,0.0075236849321814615,0.26226909579866087,1.0000000000000093,1,7,557,7
chloroquine,True,0.634883927564063,0.9477270500660846,1,0.00752469812561294,0.26226909579866087,1.000000000000055,1,7,559,7
benazepril,True,0.6172209120088882,0.95656399797836,1,0.007532554766260561,0.26226909579866087,1.00000000000019,1,7,575,7
orciprenaline,True,0.5827660776255729,0.9710233505300542,1,0.007547904070155765,0.26226909579866087,1.0000000000010623,1,7,609,7
glibenclamide,True,0.4713120382401907,0.9954835923532176,1,0.007597769697990752,0.26226909579866087,0.9999999999979838,1,7,753,7
anagrelide,True,0.39739568882812004,0.9993775276461881,1,0.007631021673963131,0.26226909579866087,1.0000000000004166,1,7,893,7
lorazepam,True,0.3632089046141076,0.9998220646491938,1,0.007646449996110211,0.26226909579866087,1.0000000000010802,1,7,977,7
trifluoperazine,True,0.2568671070091154,0.9999997819803164,1,0.00769464084724551,0.26226909579866087,0.9999999999993134,1,7,1381,7
thioridazine,True,0.246843602918031,0.9999999438441073,1,0.007699198801493419,0.26226909579866087,1.0000000000010554,1,7,1437,7
raloxifene,True,0.2454750729084611,0.9999999541415074,1,0.007699821317650753,0.26226909579866087,0.9999999999968793,1,7,1445,7
imatinib,True,0.2112134413239808,1.000000047542582,1,0.007715422623676751,0.26226909579866087,0.9999999999990614,1,7,1679,7
dasatinib,True,0.11728869217890685,0.9999999811950513,1,0.007758354137926428,0.26226909579866087,0.9999999999952078,1,7,3019,7
hydroxychloroquine,True,1.4913792555591567,0.27598795902638484,1,0.014530136573474102,0.4140006316106816,0.9999999999999613,1,6,206,6
vinblastine,True,1.280486768675745,0.3991170231124598,1,0.014680161291501818,0.4140006316106816,0.9999999999998946,1,6,240,6
topiramate,True,0.9489231796718784,0.6785120263832993,1,0.014919142930066779,0.4140006316106816,0.9999999999995575,1,6,324,6
norgestrel,True,0.8735179379173348,0.7503606001135656,1,0.014974030149899755,0.4140006316106816,0.9999999999997968,1,6,352,6
albendazole,True,0.702127313903322,0.8971891388244411,1,0.015099533131227144,0.4140006316106816,0.9999999999998737,1,6,438,6
mebendazole,True,0.5592022386847421,0.973331144177209,1,0.015204992260514073,0.4140006316106816,0.9999999999996174,1,6,550,6
tranylcypromine,True,0.5025593229417752,0.9882371942349356,1,0.01524698974229719,0.4140006316106816,1.000000000000673,1,6,612,6
flutamide,True,0.41902224781466646,0.9979004271782528,1,0.015309138841624766,0.4140006316106816,0.9999999999994101,1,6,734,6
daunorubicin,True,0.2483511220362695,0.9999993923667,1,0.015436899780317639,0.4140006316106816,0.9999999999989743,1,6,1238,6
