drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
rizatriptan,True,0.017008205110813177,0.9999999943509996,1,0.0150271601219162,0.2669216921682224,1.000000000000009,1,6,384,6
doxapram,True,0.014198638424795185,0.9999999976758939,1,0.015124231248266074,0.2669216921682224,1.000000000000404,1,6,460,6
nifedipine,True,0.011961821802111194,1.000000001131896,1,0.015201959994988053,0.2669216921682224,0.9999999999993183,1,6,546,6
riluzole,True,0.01170447449189588,0.9999999989845333,1,0.015210928232456502,0.2669216921682224,0.9999999999999895,1,6,558,6
quetiapine,True,0.011621132088913558,0.9999999989835584,1,0.015213833742885305,0.2669216921682224,0.9999999999999454,1,6,562,6
celecoxib,True,0.01126030470855986,0.9999999968182378,1,0.01522641940917773,0.2669216921682224,0.9999999999993706,1,6,580,6
enzalutamide,True,0.011107022049106291,0.9999999988207676,1,0.01523176905146348,0.2669216921682224,1.0000000000008218,1,6,588,6
estrone,True,0.009834914379848863,0.9999999976576412,1,0.015276238612881932,0.2669216921682224,0.9999999999998314,1,6,664,6
isradipine,True,0.009805355594230432,0.9999999972376584,1,0.015277273448175381,0.2669216921682224,0.9999999999995165,1,6,666,6
amlodipine,True,0.007486608610304852,1.0000000097045272,1,0.015358669628953572,0.2669216921682224,0.9999999999986183,1,6,872,6
azathioprine,True,0.007401598303927537,1.0000000080350044,1,0.015361661997284318,0.2669216921682224,0.9999999999993008,1,6,882,6
anagrelide,True,0.007302094904512167,1.0000000081074767,1,0.015365165262439053,0.2669216921682224,1.0000000000001985,1,6,894,6
bosutinib,True,0.006592863203479844,1.00000000810354,1,0.015390158636572745,0.2669216921682224,1.0000000000001104,1,6,990,6
temozolomide,True,0.0056541192299158945,1.0000000064259411,1,0.015423302449104033,0.2669216921682224,0.9999999999993606,1,6,1154,6
dabrafenib,True,0.0050253687465374505,1.000000008780472,1,0.015445541297755622,0.2669216921682224,1.0000000000007263,1,6,1298,6
doxorubicin,True,0.004933888918804569,1.0000000106951326,1,0.015448779598106959,0.2669216921682224,0.9999999999998159,1,6,1322,6
fostamatinib,True,0.003587881055291715,1.000000025438252,1,0.01549650547716226,0.2669216921682224,1.0000000000007672,1,6,1816,6
phenelzine,True,0.02009065389648311,0.9999999948077309,1,0.030135993685551424,0.42549318387062735,1.0000000000002007,1,5,275,5
ramelteon,True,0.01872998977857368,0.9999999924457638,1,0.030210128036219867,0.42549318387062735,1.0000000000001426,1,5,295,5
idoxuridin,True,0.016110859895715705,0.9999999944922094,1,0.0303533391805457,0.42549318387062735,0.9999999999999065,1,5,343,5
alprostadil,True,0.015393240164251141,0.9999999937461874,1,0.030392695527432022,0.42549318387062735,1.0000000000002933,1,5,359,5
formoterol,True,0.014206611259767457,0.9999999923917818,1,0.030457885112219068,0.42549318387062735,0.9999999999998839,1,5,389,5
zileuton,True,0.013990887825551586,0.9999999949420116,1,0.03046975120420833,0.42549318387062735,1.000000000000119,1,5,395,5
levothyroxine,True,0.013381280007217257,0.9999999932684367,1,0.030503308196828168,0.42549318387062735,1.0000000000004936,1,5,413,5
fluvoxamine,True,0.013127055789844142,0.9999999951059283,1,0.03051731330830772,0.42549318387062735,1.0000000000002447,1,5,421,5
diflunisal,True,0.012093071718856114,0.9999999943300405,1,0.030574341088559838,0.42549318387062735,0.9999999999997731,1,5,457,5
citalopram,True,0.011255611239522475,0.999999997839191,1,0.030620607699729043,0.42549318387062735,1.000000000000628,1,5,491,5
progesterone,True,0.0102530144927435,0.9999999982467431,1,0.030676089228375527,0.42549318387062735,0.9999999999994669,1,5,539,5
tolazamide,True,0.009577491424937192,1.000000000800444,1,0.030713527685869487,0.42549318387062735,1.000000000000162,1,5,577,5
calcipotriol,True,0.008785253468988936,1.0000000027052272,1,0.030757492683215207,0.42549318387062735,1.0000000000010316,1,5,629,5
belinostat,True,0.007184502763275525,1.0000000108222056,1,0.030846517434198126,0.42549318387062735,0.9999999999995063,1,5,769,5
zolpidem,True,0.006010332908641882,1.000000007785978,1,0.03091198153592821,0.42549318387062735,1.0000000000003826,1,5,919,5
moxifloxacin,True,0.005820017226042496,1.0000000101309532,1,0.030922605353840928,0.42549318387062735,0.9999999999993906,1,5,949,5
tretinoin,True,0.005618361941002515,1.0000000077301014,1,0.030933866148190322,0.42549318387062735,0.999999999996814,1,5,983,5
panobinostat,True,0.004650926017741236,1.000000004870155,1,0.030987946464188294,0.42549318387062735,1.0000000000005957,1,5,1187,5
