gene,ensembl_id,drug_id,drug_name,disease_id,disease_name,phase,mechanism_of_action
JAK1,ENSG00000162434,CHEMBL1795071,RUXOLITINIB PHOSPHATE,MONDO_0013730;MONDO_0008661;MONDO_0044903;MONDO_0009692;MONDO_0009891;MONDO_0005029;EFO_1001494;MONDO_0018905;MONDO_0000430;MONDO_0002280;MONDO_0004653;MONDO_0018881;MONDO_0020076;MONDO_0020311;MONDO_0019451;MONDO_0004967;MONDO_0005340;MONDO_0004948;MONDO_0004948;MONDO_0018874;MONDO_0002158;MONDO_0015686;MONDO_0005140;MONDO_0018364;MONDO_0013730;MONDO_0011962;MONDO_0004980,"graft versus host disease;vitiligo;myelofibrosis;primary myelofibrosis;acquired polycythemia vera;essential thrombocythemia;psoriasis vulgaris;diffuse large B-cell lymphoma;mature T-cell and NK-cell non-Hodgkin lymphoma;anemia;atypical chronic myeloid leukemia, BCR-ABL1 negative;myelodysplastic syndrome;myeloproliferative neoplasm;chronic myelomonocytic leukemia;chronic neutrophilic leukemia;acute lymphoblastic leukemia;alopecia areata;B-cell chronic lymphocytic leukemia;B-cell chronic lymphocytic leukemia;acute myeloid leukemia;fallopian tube cancer;primary peritoneal carcinoma;ovarian carcinoma;malignant epithelial tumor of ovary;graft versus host disease;endometrial cancer;atopic eczema",APPROVAL,
JAK1,ENSG00000162434,CHEMBL6068336,MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,MONDO_0044903;HP_0001744;EFO_0004251,myelofibrosis;Splenomegaly;myeloproliferative disorder,APPROVAL,
JAK1,ENSG00000162434,CHEMBL4802163,NEZULCITINIB,MONDO_0100096;MONDO_0015796;MONDO_0100096,COVID-19;acute lung injury;COVID-19,PHASE_2,
JAK1,ENSG00000162434,CHEMBL4594382,DEURUXOLITINIB PHOSPHATE,MONDO_0005340,alopecia areata,APPROVAL,
JAK1,ENSG00000162434,CHEMBL4297477,BREPOCITINIB,MONDO_0016367;EFO_0009856;MONDO_0004979;EFO_1001494;MONDO_0005101;MONDO_0005340;MONDO_0005011;MONDO_0007915;MONDO_0004980;MONDO_0011849;MONDO_0006559;EFO_1002028;MONDO_0020283;MONDO_0006611;EFO_1001494;MONDO_0005083;MONDO_0005046,dermatomyositis;lichen planopilaris;asthma;psoriasis vulgaris;ulcerative colitis;alopecia areata;Crohn disease;systemic lupus erythematosus;atopic eczema;psoriatic arthritis;hidradenitis suppurativa;cicatricial alopecia;uveitis;skin sarcoidosis;psoriasis vulgaris;psoriasis;immune system disorder,PHASE_3,
JAK1,ENSG00000162434,CHEMBL3622820,ITACITINIB,MONDO_0013730;MONDO_0020547;MONDO_0004992;MONDO_0005233;MONDO_0008383;MONDO_0044903;MONDO_0005083;MONDO_0005233;MONDO_0004952;MONDO_0005101;MONDO_0020547;MONDO_0004992;MONDO_0007254;MONDO_0021223;MONDO_0005233;MONDO_0009692;MONDO_0005100;MONDO_0018905;MONDO_0006047;MONDO_0005192;MONDO_0018906;MONDO_0017604;MONDO_0018908;MONDO_0018876;MONDO_0004992;MONDO_0009348;EFO_0004599;MONDO_0015265;MONDO_0006311;MONDO_0020546;MONDO_0009348;MONDO_0015759;MONDO_0005070;MONDO_0001056;MONDO_0010150;MONDO_0011962;MONDO_0008433;MONDO_0006474;MONDO_0005086;MONDO_0005575;MONDO_0005184;MONDO_0005105;MONDO_0005089;MONDO_0019468;MONDO_0013730;MONDO_0007256;MONDO_0015909,graft versus host disease;chronic graft versus host disease;cancer;non-small cell lung carcinoma;rheumatoid arthritis;myelofibrosis;psoriasis;non-small cell lung carcinoma;Hodgkins lymphoma;ulcerative colitis;chronic graft versus host disease;cancer;breast cancer;digestive system neoplasm;non-small cell lung carcinoma;primary myelofibrosis;systemic sclerosis;diffuse large B-cell lymphoma;pancreatic adenocarcinoma;exocrine pancreatic carcinoma;follicular lymphoma;marginal zone lymphoma;non-Hodgkin lymphoma;mantle cell lymphoma;cancer;classic Hodgkin lymphoma;acute graft vs. host disease;bronchiolitis obliterans syndrome;myelodysplastic/myeloproliferative neoplasm;acute graft versus host disease;classic Hodgkin lymphoma;B-cell non-Hodgkin lymphoma;neoplasm;gastric cancer;head and neck squamous cell carcinoma;endometrial cancer;small cell lung carcinoma;transitional cell carcinoma;renal cell carcinoma;colorectal cancer;pancreatic ductal adenocarcinoma;melanoma;sarcoma;T-cell prolymphocytic leukemia;graft versus host disease;hepatocellular carcinoma;aplastic anemia,PHASE_3,
JAK1,ENSG00000162434,CHEMBL3137308,PEFICITINIB,EFO_1001494;MONDO_0008383;EFO_1001494;MONDO_0005101,psoriasis vulgaris;rheumatoid arthritis;psoriasis vulgaris;ulcerative colitis,PHASE_3,
JAK1,ENSG00000162434,CHEMBL3301606,SOLCITINIB,MONDO_0007915;EFO_1001494;HP_0001369;MONDO_0005101,systemic lupus erythematosus;psoriasis vulgaris;Arthritis;ulcerative colitis,PHASE_2,
JAK1,ENSG00000162434,CHEMBL4650343,IZENCITINIB,MONDO_0005101;MONDO_0005011;MONDO_0005011,ulcerative colitis;Crohn disease;Crohn disease,PHASE_2_3,
JAK1,ENSG00000162434,CHEMBL2103743,TOFACITINIB CITRATE,MONDO_0011849;MONDO_0008383;Orphanet_701;MONDO_0019080;MONDO_0005340,psoriatic arthritis;rheumatoid arthritis;Alopecia universalis;alopecia totalis;alopecia areata,APPROVAL,
JAK1,ENSG00000162434,CHEMBL4594275,GUSACITINIB,MONDO_0004980;HP_0000964;MONDO_0004980;EFO_0022959;MONDO_0020804;MONDO_0005062;MONDO_0000430;MONDO_0004948;MONDO_0018876;MONDO_0018905;MONDO_0044903;MONDO_0018906;MONDO_0007187;MONDO_0004670;MONDO_0007915;MONDO_0007915;HP_0011123;MONDO_0002334;MONDO_0007179,atopic eczema;Eczematoid dermatitis;atopic eczema;hand eczema;basal cell carcinoma;lymphoma;mature T-cell and NK-cell non-Hodgkin lymphoma;B-cell chronic lymphocytic leukemia;mantle cell lymphoma;diffuse large B-cell lymphoma;myelofibrosis;follicular lymphoma;nevoid basal cell carcinoma syndrome;lupus erythematosus;systemic lupus erythematosus;systemic lupus erythematosus;Inflammatory abnormality of the skin;hematopoietic and lymphoid system neoplasm;autoimmune disease,PHASE_2,
JAK1,ENSG00000162434,CHEMBL4298167,FILGOTINIB MALEATE,MONDO_0008383;MP_0001845;MONDO_0007179,rheumatoid arthritis;inflammation;autoimmune disease,APPROVAL,
