gene,uniprot,target_chembl_id,target_name,molecule_chembl_id,drug_name,max_phase,mechanism_of_action
JAK2,O60674,CHEMBL2971,Tyrosine-protein kinase JAK2,CHEMBL4298167,FILGOTINIB MALEATE,4.0,Tyrosine-protein kinase JAK2 inhibitor
JAK2,O60674,CHEMBL2971,Tyrosine-protein kinase JAK2,CHEMBL5315119,UPADACITINIB HEMIHYDRATE,4.0,Tyrosine-protein kinase JAK2 inhibitor
JAK2,O60674,CHEMBL2971,Tyrosine-protein kinase JAK2,CHEMBL4594382,DEURUXOLITINIB PHOSPHATE,4.0,Tyrosine-protein kinase JAK2 inhibitor
JAK2,O60674,CHEMBL2971,Tyrosine-protein kinase JAK2,CHEMBL6068336,MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,4.0,Tyrosine-protein kinase JAK2 inhibitor
JAK2,O60674,CHEMBL2971,Tyrosine-protein kinase JAK2,CHEMBL6068336,MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,4.0,Tyrosine-protein kinase JAK2 inhibitor
IL6R,P08887,CHEMBL2364155,Interleukin-6 receptor subunit alpha,CHEMBL1237022,TOCILIZUMAB,4.0,Interleukin-6 receptor alpha subunit inhibitor
IL6R,P08887,CHEMBL2364155,Interleukin-6 receptor subunit alpha,CHEMBL2108730,SARILUMAB,4.0,Interleukin-6 receptor alpha subunit antagonist
IL6R,P08887,CHEMBL2364155,Interleukin-6 receptor subunit alpha,CHEMBL3833343,VOBARILIZUMAB,2.0,Interleukin-6 receptor alpha subunit inhibitor
IL6R,P08887,CHEMBL2364155,Interleukin-6 receptor subunit alpha,CHEMBL4650406,LEVILIMAB,3.0,Interleukin-6 receptor alpha subunit inhibitor
TTK,P33981,CHEMBL3983,Dual specificity protein kinase TTK,CHEMBL4303241,BAY-1161909,2.0,Dual specificity protein kinase TTK inhibitor
TTK,P33981,CHEMBL3983,Dual specificity protein kinase TTK,CHEMBL4456085,BAY-1217389,1.0,Dual specificity protein kinase TTK inhibitor
AURKB,Q96GD4,CHEMBL2185,Aurora kinase B,CHEMBL5095033,IBCASERTIB,3.0,Serine/threonine-protein kinase Aurora-B inhibitor
AURKB,Q96GD4,CHEMBL2185,Aurora kinase B,CHEMBL1090479,GSK-1070916,1.0,Serine/threonine-protein kinase Aurora-B inhibitor
AURKB,Q96GD4,CHEMBL2185,Aurora kinase B,CHEMBL1908397,KW-2449,1.0,Serine/threonine-protein kinase Aurora-B inhibitor
AURKB,Q96GD4,CHEMBL2185,Aurora kinase B,CHEMBL4289017,PF-03814735,1.0,Serine/threonine-protein kinase Aurora-B inhibitor
AURKB,Q96GD4,CHEMBL2185,Aurora kinase B,CHEMBL3544932,TAK-901,1.0,Serine/threonine-protein kinase Aurora-B inhibitor
AURKB,Q96GD4,CHEMBL2185,Aurora kinase B,CHEMBL495727,AT-9283,2.0,Serine/threonine-protein kinase Aurora-B inhibitor
AURKB,Q96GD4,CHEMBL2185,Aurora kinase B,CHEMBL3545395,BI-811283,2.0,Serine/threonine-protein kinase Aurora-B inhibitor
AURKB,Q96GD4,CHEMBL2185,Aurora kinase B,CHEMBL482968,ENMD-2076,2.0,Serine/threonine-protein kinase Aurora-B inhibitor
AURKB,Q96GD4,CHEMBL2185,Aurora kinase B,CHEMBL415049,BARASERTIB,3.0,Serine/threonine-protein kinase Aurora-B inhibitor
